whitePixelOnTopHalfCount,whitePixelOnBottomHalfCount,leftSideShape,rightSideShape,topShape,bottomShape,distanceCenter,heightWidthRatio
 5,  70,  81, 142, 123, 180,  89,1135.21,1.72461
 0,  71,  93,  67,  56, 144,  43,1233.29,1.19039
 4,  33,  79, 139,  55, 244, 128,860.291,0.614947
 1,  33,  57, 102, 112, 167,  58,549.184,1.60668
 9,  52,  78, 108,  68, 141,  70,798.888,1.54379
 2,  54, 114,  93,  94, 233,  86,1088.14,1.08991
 1,  38,  51,  49,  53,  75,   5,507.531,3.35744
 3,  68, 115, 112,  67, 165,  56,1301.41,1.44625
 1,  26,  31,  37,  34,  44,   3,329.367,5.58569
 4,  40,  87, 129, 100, 198, 112,719.673,1.03478
 3,  58,  92, 111,  44, 147,  34,919.302,2.03814
 5,  22,  56,  88, 113, 239, 119,512.303,0.992613
 3,  71, 108, 142,  71, 160,  50,1406.13,1.3987
 6,  42, 123,  68,  99, 137,  43,985.001,1.28757
 1,  24,  45,  22,  23,  28,   4,350.567,3.86364
 7,  67,  70,  92,  96, 148,  76,878.723,1.26873
 2,  41,  92,  98, 118, 212,  93,912.673,1.12235
 8,  61,  85,  77, 109, 150,  80,935.021,1.57071
 6,  26,  66,  59,  58,  83,  39,579.612,1.71736
 9,  43,  56,  98,  98, 187,  44,584.725,1.85305
 4,  65, 119, 109,  52, 213,  90,1267.66,0.747397
 0,  75, 109,  85,  39, 156,  38,1408.36,1.07586
 9,  41,  57,  61,  88, 110,  46,529.3,1.66876
 1,  32,  56, 104, 112, 170,  56,526.184,1.57171
 1,  36,  91, 122,  89, 184,  26,789.999,1.55483
 2,  86, 132,  91, 100, 171,  51,1579.24,1.38165
 4,  34,  52,  93,  57, 126,  55,461.453,1.63226
 3,  98, 129, 115,  67, 161,  56,1689.67,1.38879
 2, 100,  98, 144,  76, 149,  76,1569.24,1.48533
 7,  33,  60, 147,  71, 151,  49,489.249,1.17761
 3,  50,  86, 117,  53, 198,  79,874.834,1.08954
 8,  65, 100, 108, 116, 210, 109,1146.78,1.38637
 6,  30,  81,  51, 104, 104,  22,678.023,1.5418
 9,  54,  64, 113, 107, 213,  59,713.819,1.611
 0,  63, 113,  55,  49, 121,  30,1124.6,1.45972
 5,  30,  66, 110, 111, 233, 111,573.836,1.15085
 6,  42, 113,  50,  80, 116,  18,917.031,1.72879
 0,  68, 125,  65,  60, 139,  44,1270.83,1.22123
 7,  46,  85, 122, 112, 206, 113,801.602,1.08144
 6,  43, 113,  55,  76, 134,  28,877.509,1.37389
 1,  28,  48,  30,  46,  48,   8,400.628,4.23484
 8,  69,  91,  69,  69, 116,  39,957.163,1.79451
 7,  39,  35, 126,  58, 109,  81,466.655,2.71084
 9,  54,  52,  68,  71, 102,  35,591.261,2.27329
 3,  46,  59, 145,  58, 120,  85,639.907,2.12554
 9,  56,  79,  80,  72, 124,  62,817.851,1.44522
 8,  61,  79,  68,  64, 106,  64,917.843,1.8832
 5,  41,  70, 106, 159, 222, 145,755.508,1.29135
 9,  44,  50,  73,  48,  90,  46,649.117,2.35318
 3,  79,  95, 151,  79, 193,  60,1233.85,1.62576
 3,  50,  71, 113,  57, 113,  46,821.561,1.96861
 0,  87, 118,  70,  34, 160,  27,1773.41,1.10775
 7,  80,  65, 136,  76, 153, 109,1057.51,1.39469
 4,  39,  69,  77, 119, 188,  92,603.615,1.209
 9,  64,  74,  97, 113, 162, 136,873.752,1.24761
 8,  80,  98,  67, 126, 165, 106,1161.2,1.56899
 0,  86, 118,  43,  44, 143,  32,1630.26,1.10566
 9,  45,  63,  52,  88, 107,  43,629.084,1.60071
 4,  51, 109, 108,  19, 147,  46,992.694,1.02438
 1,  29,  58, 108,  90, 154,  55,526.226,1.75466
 4,  43, 116,  84,  35, 221,  96,1155.51,0.58999
 4,  42,  68,  75, 116, 142,  63,567.463,1.16273
 6,  47, 107,  45,  56,  95,  14,912.41,1.65943
 0,  74, 152,  80,  67, 198,  49,1661.6,1.02474
 4,  50,  96,  83,  71, 192, 102,991.916,1.00571
 5,  29,  66,  96, 133, 235, 145,586.515,0.971129
 6,  33,  99,  82,  75, 125,  26,745.714,1.30944
 1,  40,  56,  59,  58,  61,  16,535.711,2.12446
 0,  60,  69,  52,  54, 151,  59,1223.7,1.03108
 0,  78, 124,  48,  37, 121,  20,1412.39,1.41362
 1,  46,  59,  62,  86, 114,  12,713.503,2.70829
 7,  65,  53, 100, 119, 177,  76,748.74,1.26276
 1,  24,  38,  31,  24,  22,   3,318.459,5.95226
 6,  37, 119,  76,  66, 130,  24,859.957,1.3997
 3,  54,  80,  91,  51, 104,  68,884.216,2.06633
 0,  63, 113,  75,  40, 152,  23,1254.1,1.31012
 2,  68,  84, 105, 154, 212,  99,1096.39,1.77361
 1,  33,  51,  75,  88, 122,  27,486.154,2.10285
 1,  39,  66, 106,  59, 149,  31,582.587,1.98823
 7,  64,  62,  91, 114, 156,  82,801.946,1.23343
 9,  64,  92,  40,  46, 106,  19,1044.73,1.50611
 0,  75, 114,  65,  45, 140,  32,1349.55,1.36756
 2,  66, 124,  98,  57, 145,  22,1405.31,1.39514
 6,  34, 103,  86,  84, 157,  40,836.417,1.22452
 7,  49,  50, 209,  60, 145, 112,801.083,1.72393
 8,  62,  80,  92, 112, 183,  90,965.431,1.68667
 3,  57,  61, 212,  77, 198, 137,891.28,1.37322
 9,  69,  90,  64,  90, 135,  70,931.539,1.32344
 0,  85, 110,  39,  59, 135,  33,1509.82,1.11037
 4,  56,  88, 103, 128, 209, 149,924.479,0.886354
 6,  47, 117,  73,  91, 120,  42,1031.27,1.21386
 7,  81,  62, 105, 120, 181,  75,940.449,1.09745
 4,  31,  62,  88,  30, 140,  40,524.84,1.0522
 6,  36, 122,  60,  68, 123,  25,936.798,1.41551
 8,  60,  87,  56,  83, 113,  62,938.335,1.84954
 0,  68, 108,  50,  31, 105,  17,1271.36,1.41102
 7,  52,  48,  97,  65, 104,  72,613.955,2.41569
 8,  66,  95,  66,  91, 136,  78,1086.66,1.72286
 3,  48,  73,  92,  44,  94,  62,810.734,2.0721
 1,  28,  52, 109,  77, 163,  28,453.438,2.06126
