I_1,I_2,I_3,I_4,I_5,I_6,I_7
 0,249.486,55503.9,1.05356e+07,1.01382e+07,1.04748e+14,2.3878e+09,-2.52267e+12
 0,4.696,19.2067,591.164,614.723,370473,2693.04,-8561.86
 0,-59307.6,3.53511e+09,8.40675e+14,8.35919e+14,7.00746e+29,-4.97011e+19,1.16528e+25
 0,-93.5936,6687.31,1.11468e+06,250932,2.27791e+10,4.20941e+06,1.30742e+11
 0,6.29068,36.4672,156.844,173.607,28646.8,1036.66,170.91
 0,-122.039,19014.7,2.18723e+07,1.94577e+07,4.01324e+14,-2.67783e+09,8.15184e+12
 0,-31254.1,9.48483e+08,1.11243e+14,1.13886e+14,1.28187e+28,-3.50729e+18,1.49692e+25
 0,9.04135,66.0732,157186,164560,2.64662e+10,1.2738e+06,-4.65193e+06
 0,20.0333,180.968,267.65,1649.56,-69438.9,21120.8,-1.09387e+06
 0,15.5877,205.429,1389.55,1373.98,1.89758e+06,17284.1,58745.9
 0,19.9808,78.0072,312.078,113.326,-4557.31,-239.505,-20819
 0,18.7982,72.8055,375.513,449.914,128242,38.8959,-133240
 0,16.8771,22.0568,202.118,399.703,75477.2,-413.485,-84911.3
 0,   0,   0,   0,   0,   0,   0,   0
 0,57.1679,1454,15060.2,4846.45,-3.52971e+07,155429,2.16442e+07
 0,11.1899,20.952,207.164,291.576,30226.9,444.16,64974.6
 0,-1.03293,2.05997,23.1164,5.47782,48.9409,2.81639,-37.476
 0,74.387,4781.89,530827,598448,3.37265e+11,4.0977e+07,4.84649e+09
 0,-6551.9,4.48202e+07,1.23625e+12,1.18496e+12,1.4342e+24,-7.93302e+15,2.96878e+21
 0,14.9691,16.7468,145.876,41.2406,-3198.25,29.9099,-56.0033
 0,55.7716,303728,2.40493e+09,8.19968e+08,1.04756e+18,3.43192e+11,4.77985e+17
 0,361.794,116111,540518,72554.6,1.32316e+10,-3.66426e+06,-5.60085e+09
 0,-444674,1.98577e+11,3.53991e+17,3.52444e+17,1.24489e+35,-1.57056e+23,2.80827e+30
 0,2.15977,3.98685,15.7225,17.781,297.222,35.4159,6.82328
 0,115.341,10903.4,4792.79,15179.6,1.26142e+08,1.58499e+06,-2.91879e+07
 1,-37.8981,540.88,45331.7,152335,1.22962e+10,-3.50908e+06,3.00917e+09
 1,14.3513,108.249,425.947,923.479,401210,9604.73,417717
 1,27.1824,246.341,1918.54,9865.01,4.25701e+07,154761,-5.44707e+06
 1,25.8079,155.095,4020.25,710.518,74219.1,8184.3,1.19856e+06
 1,24.9793,121.543,801.903,352.788,-83242.5,2967.79,-168168
 1,56.6939,1968.65,47521.2,12770.4,3.03745e+08,358136,8.19108e+07
 1,-0.517776,1.99347,0.715049,22.6968,41.2575,-31.9911,-81.5981
 1,22.6255,232.879,581.787,3674.87,4.49418e+06,55008.3,2.94539e+06
 1,41.6563,390.718,21141.6,15101.1,2.46228e+08,240339,1.10348e+08
 1,-224.641,16180.3,4.2793e+06,1.29083e+07,8.98839e+13,-1.43681e+09,3.35407e+13
 1,-170.451,6331.48,2.30241e+06,6.99343e+06,1.89252e+13,-4.49136e+08,2.07206e+13
 1,32.0381,319.388,7705.79,8152.34,5.64981e+07,118671,3.13534e+07
 1,-6.22189,5.2304,1649.53,2947.41,-1.47721e+06,5234.06,-6.32879e+06
 1,31.3517,123.235,3046.24,1835.33,1.28633e+06,20204.3,-4.14462e+06
 1,18.7219,84.2197,386.517,4755.68,1.7235e+06,43538.4,-6.21306e+06
 1,11.0835,34.0529,246.06,2260.86,1.39834e+06,13178.9,-942443
 1,27.4792,266.375,3866.31,931.579,1.14141e+06,14860.2,-1.35017e+06
 1,-1355.36,2.24671e+06,1.43871e+10,1.20396e+10,1.58443e+20,-1.80461e+13,-1.93224e+18
 1,-737.397,785064,3.01556e+09,2.2577e+09,5.88818e+18,-2.00041e+12,1.79749e+17
 1,16.1827,67.1884,325.826,574.319,-93813.1,4707.26,230048
 1,-15.6167,26.1721,9106.31,27022.6,2.40597e+08,-137092,-3.49002e+08
 1,1.10922,1.91303,0.22166,0.326895,-0.0527605,0.0983729,-0.0704228
 1,-26.0912,339.271,37931.8,62603.3,2.94852e+09,-1.14723e+06,7.82882e+08
 1,44.4708,255.75,9292.35,4376.41,1.23759e+07,47573.6,-2.50147e+07
 1,22.3778,70.2346,2779.12,15715.6,9.46627e+07,26314.3,4.27323e+07
 2,1.51736,2.84508,0.115499,0.0586165,-0.00365917,-0.098638,-0.00314199
 2,-0.890263,8.05263,676.455,338.366,161287,250.25,13868.3
 2,0.118003,0.133786,8.5221,8.3927,70.4743,1.17201,8.44363
 2,0.010457,0.027792,5.68248,5.72979,32.5347,0.347826,3.23026
 2,26.3414,624.46,45826,57996.2,2.98263e+09,1.39928e+06,-2.08181e+08
 2,0.582243,0.357235,0.0193067,0.041988,0.00115746,0.0174472,-0.00029909
 2,6.60634,32.6152,153.628,278.626,57533.4,1578.13,-3598.46
 2,1.21219,1.8443,0.0721892,0.0452128,-0.00150796,-0.059931,-0.00209715
 2,-1.94781,3.0499,92.2209,129.036,14058.3,-224.747,706.224
 2,-0.111068,0.205724,1.94868,0.663728,0.500769,0.195574,-0.564814
 2,0.523597,0.206465,0.0385937,0.0135889,0.000242374,0.00562562,-0.000195188
 2,1.2214,1.08354,19.9335,22.4468,474.305,23.2861,-21.9957
 2,1.40568,2.32786,0.142616,0.291685,0.0493528,0.410908,-0.0332197
 2,-145.079,26287.7,2.00685e+07,1.31391e+07,2.12439e+14,-2.12173e+09,1.97503e+13
 2,-5.94054,52.4983,3302.19,983.486,1.76657e+06,-7125.92,143228
 2,0.77763,0.494997,0.333195,0.306261,0.0975992,0.215331,-0.00676633
 2,-45.1237,1785.5,333724,395443,1.43622e+11,-1.67078e+07,3.07996e+09
 2,0.136518,0.0520717,3.53183,3.43306,11.8456,0.631637,1.60778
 2,0.529792,0.219206,0.173035,0.143003,0.0224436,0.0669049,-0.00151776
 2,2.93735,12.7485,37.1331,13.9602,249.655,44.4989,196.719
 2,2.33683,2.85021,6.22221,85.2629,179.651,127.275,-1955.63
 2,0.0421187,0.0328225,5.04081,5.0429,25.2728,0.431766,2.78325
 2,   0,   0,   0,   0,   0,   0,   0
 2,1.65333,3.08482,0.204746,0.340438,0.0810468,0.591069,-0.0388575
 2,0.684626,0.400111,0.109506,0.0692601,0.00593412,0.0430953,-0.00108088
 3,374.764,132252,2.80631e+06,1.83503e+06,4.1225e+12,5.77351e+08,-5.88008e+11
 3,862.481,734120,1.95617e+08,2.07093e+08,4.1682e+16,1.77438e+11,-1.08713e+14
 3,840.466,688065,7.13378e+07,6.47573e+07,4.40135e+15,5.37139e+10,-2.48973e+13
 3,17.3392,242.312,21.6675,11.1943,173.971,174.233,11.3312
 3,534.062,276684,6.93549e+06,7.56035e+06,5.47449e+13,3.95846e+09,-3.26491e+11
 3,292.732,89136.6,1.05266e+08,4.54157e+07,2.9586e+15,1.18803e+10,-1.05232e+15
 3,489.538,237650,2.33836e+06,1.93698e+06,4.1217e+12,9.19329e+08,-7.19018e+10
 3,36.3143,1106.83,477.823,194.785,55496.1,4981.98,21247.5
 3,136.961,17649,1.01399e+06,883845,8.36535e+11,1.1376e+08,1.76643e+10
 3,291.794,81165.6,1.90445e+07,1.93878e+07,3.72545e+14,5.51366e+09,-8.7406e+11
 3,24.4258,489.804,70.6625,12.6628,367.847,274.562,90.3571
 3,16.0919,195.623,20.0147,6.14535,65.6678,82.6386,-18.242
 3,20.871,355.538,109.605,49.1409,3573.3,914.106,487.78
 3,10.7576,90.7084,2.92373,0.347675,0.348314,3.30362,0.0393819
