laplaceOperator,I_1T,I_2T,I_3T,I_4T,I_5T,I_6T,I_7T,circle_5_10,circle_10_20,circle_20_40,circle_20_32
 0,1.03132e+06,0.0109685,3.92151e-08,2.73054e-10,6.48544e-10,-1.28847e-19,1.36844e-15,-2.4059e-19,5044,24768,36850,16278
 0,1.03148e+06,0.0111722,4.26639e-07,1.64507e-09,1.27785e-10,-3.59577e-20,4.99915e-14,-4.62562e-20,5292,24648,37020,16678
 0,1.03129e+06,0.0106111,7.77997e-09,3.36593e-09,8.97321e-10,-1.55303e-18,6.58462e-14,1.41455e-19,5046,24656,36730,16484
 0,1.03135e+06,0.00859039,3.0068e-08,8.44857e-10,2.43511e-09,-3.43143e-18,-2.57588e-14,6.51703e-19,5540,25366,38694,17216
 0,1.03089e+06,0.00934413,2.78591e-07,1.08855e-09,1.71384e-10,-6.83349e-20,-4.70127e-14,2.84622e-20,5310,25576,38790,17418
 0,1.03048e+06,0.00818269,3.9572e-08,2.47515e-09,1.60867e-09,3.10571e-18,2.96762e-13,-8.11405e-19,5430,25504,38954,17356
 0,1.03611e+06,0.00780674,2.69878e-08,7.1082e-09,2.8455e-10,-3.90242e-19,3.69855e-14,-1.07155e-19,5056,26216,39896,16992
 0,1.03582e+06,0.00842497,2.45736e-08,4.46487e-09,8.5335e-10,-1.85165e-19,-5.0287e-14,-1.65537e-18,5246,25548,38338,16910
 0,1.03335e+06,0.0124924,6.71283e-08,3.35361e-09,2.02936e-09,7.6789e-19,-4.34419e-13,-5.23813e-18,5290,24274,35472,16688
 0,1.03532e+06,0.0137285,3.70816e-08,2.98236e-09,3.0496e-09,-5.0582e-18,2.07189e-13,-7.68108e-18,4966,24376,34908,16772
 0,1.03514e+06,0.00826191,5.54376e-09,1.41855e-10,1.5416e-09,-5.76299e-19,-1.14782e-13,-4.3311e-19,5370,25336,39314,17634
 0,1.03626e+06,0.00893505,1.42747e-07,8.12362e-10,2.77697e-10,-5.67083e-20,4.94762e-14,-1.19083e-19,5386,25934,38830,17262
 0,1.03573e+06,0.00755101,4.39942e-08,1.3003e-09,1.87021e-09,2.14174e-18,3.90842e-13,1.97958e-18,5350,25600,39204,17498
 0,1.03408e+06,0.00742054,7.06702e-09,2.12073e-09,4.98589e-11,-1.02539e-20,-4.0909e-15,-1.25582e-20,5312,26276,39644,17450
 0,1.03597e+06,0.00836714,8.17634e-08,2.5286e-09,7.52359e-10,-4.67376e-19,1.4888e-13,9.26503e-19,5184,25820,38274,16948
 0,1.03607e+06,0.0117332,1.61342e-07,3.05414e-10,3.189e-09,1.05052e-19,9.64891e-13,-3.14547e-18,5154,24564,37044,16600
 0,1.03412e+06,0.0136989,8.86698e-08,3.00134e-10,7.08344e-09,-3.9002e-18,1.01571e-12,-9.56347e-18,4968,24236,36316,16842
 0,1.03464e+06,0.010655,4.45949e-08,2.13778e-09,4.67718e-09,-1.43493e-17,2.45101e-13,3.5821e-18,5200,24142,36270,17004
 0,1.03601e+06,0.0110773,1.91603e-07,6.87104e-09,1.79284e-09,-6.17573e-18,4.04945e-13,1.20665e-18,5398,25190,37092,17078
 0,1.0358e+06,0.0132546,6.3946e-08,3.92214e-09,1.83358e-09,4.78938e-18,1.22676e-14,1.11358e-18,5162,24080,36420,16726
 0,1.03714e+06,0.00790412,6.06943e-09,1.47738e-09,8.80262e-10,-6.44019e-19,6.05395e-14,-7.70018e-19,5302,25456,38988,17592
 0,1.03622e+06,0.00875,7.59078e-08,2.47656e-09,1.24608e-10,6.3249e-20,-1.60325e-14,-2.81299e-20,5318,26046,39412,17468
 0,1.03555e+06,0.00715246,1.47746e-08,1.12828e-09,9.57083e-10,9.9447e-19,5.71851e-14,-1.36289e-20,5266,25994,40116,17468
 0,1.03619e+06,0.00703249,7.05184e-09,1.40856e-09,2.35645e-11,-4.26045e-21,1.58248e-15,-5.28727e-22,5136,25674,40204,16822
 0,1.03705e+06,0.00797933,1.63818e-07,1.93634e-09,7.10828e-10,-1.61437e-19,1.76015e-13,8.18171e-19,5318,26012,38244,16270
 0,1.03534e+06,0.0101957,6.98675e-08,1.68381e-09,2.2007e-09,3.66116e-19,-4.54043e-13,4.22047e-18,5256,25208,38096,17050
 0,1.03756e+06,0.0107851,2.36702e-07,2.29491e-09,7.98553e-10,-2.95469e-19,3.57344e-13,1.03987e-18,5166,25100,38886,16910
 0,1.03486e+06,0.00877938,6.9508e-08,1.91118e-10,1.76106e-09,9.67027e-19,3.72714e-13,-3.29646e-19,5286,24638,38850,17244
 0,1.03693e+06,0.00919249,5.382e-07,4.51755e-10,6.87417e-11,6.68445e-21,4.85196e-14,-1.01026e-20,5184,25472,38856,17336
 0,1.03707e+06,0.0100819,1.00044e-06,2.55196e-09,4.41601e-09,-1.4258e-17,1.64604e-12,-4.05896e-18,4966,25288,38174,16818
 0,1.03723e+06,0.00815487,6.41802e-08,1.45984e-09,1.17581e-09,-1.29649e-18,2.95032e-13,8.31973e-19,5150,25496,40398,17538
 0,1.036e+06,0.00876545,1.40821e-07,2.27394e-09,5.22736e-11,-1.0088e-20,1.28216e-14,1.49345e-20,5378,26042,40486,17188
